variable,value
N1_P1_e,969.558
N1_P1_m,1497.67
N1_P1_h,1433.991
N1_P2_e,989.565
N1_P2_m,1006.197
N1_P2_h,969.694
N2_P1_e,597.174
N2_P1_m,1459.342
N2_P1_h,708.987
N2_P2_e,593.712
N2_P2_m,384.143
N2_P2_h,1228.827
N3_P1_e,453.503
N3_P1_m,94.635
N3_P1_h,633.53
N3_P2_e,1109.785
N3_P2_m,1133.473
N3_P2_h,1701.119
N4_P1_e,491.82
N4_P1_m,692.576
N4_P1_h,700.956
N4_P2_e,943.448
N4_P2_m,594.937
N4_P2_h,463.597
N5_P1_e,1591.533
N5_P1_m,867.957
N5_P1_h,902.81
N5_P2_e,1167.986
N5_P2_m,455.687
N5_P2_h,217.827
N6_P1_e,521.957
N6_P1_m,119.474
N6_P1_h,1221.493
N6_P2_e,847.851
N6_P2_m,696.416
N6_P2_h,1254.754
N7_P1_e,613.673
N7_P1_m,1135.193
N7_P1_h,1187.03
N7_P2_e,901.89
N7_P2_m,1142.965
N7_P2_h,1535.515
N8_P1_e,916.994
N8_P1_m,795.838
N8_P1_h,1229.336
N8_P2_e,1382.642
N8_P2_m,1018.457
N8_P2_h,1670.743
N9_P1_e,861.858
N9_P1_m,831.668
N9_P1_h,1168.814
N9_P2_e,668.803
N9_P2_m,758.531
N9_P2_h,1617.933
E1_P1_e,952.116
E1_P1_m,592.54
E1_P1_h,501.207
E1_P2_e,1233.377
E1_P2_m,1450.904
E1_P2_h,1027.988
E2_P1_e,854.617
E2_P1_m,1277.75
E2_P1_h,1168.768
E2_P2_e,836.089
E2_P2_m,105.947
E2_P2_h,96.744
E3_P1_e,717.43
E3_P1_m,778.035
E3_P1_h,1027.184
E3_P2_e,1077.953
E3_P2_m,1077.484
E3_P2_h,850.135
E4_P1_e,602.541
E4_P1_m,627.128
E4_P1_h,642.352
E4_P2_e,558.772
E4_P2_m,664.264
E4_P2_h,769.714
E5_P1_e,991.483
E5_P1_m,942.629
E5_P1_h,1124.277
E5_P2_e,1122.879
E5_P2_m,381.037
E5_P2_h,459.734
E6_P1_e,1254.216
E6_P1_m,1043.679
E6_P1_h,939.552
E6_P2_e,971.153
E6_P2_m,936.818
E6_P2_h,642.208
E7_P1_e,969.267
E7_P1_m,87.6
E7_P1_h,2120.957
E7_P2_e,827.453
E7_P2_m,1503.248
E7_P2_h,1470.478
E8_P1_e,505.573
E8_P1_m,783.836
E8_P1_h,991.331
E8_P2_e,1333.832
E8_P2_m,720.465
E8_P2_h,634.728
E9_P1_e,957.966
E9_P1_m,929.033
E9_P1_h,940.303
E9_P2_e,652.46
E9_P2_m,965.884
E9_P2_h,652.538
