variable,value
N1_P1_e,0.917
N1_P1_m,0.589
N1_P1_h,0.633
N1_P2_e,0.944
N1_P2_m,0.844
N1_P2_h,0.944
N2_P1_e,1.472
N2_P1_m,0.65
N2_P1_h,1.278
N2_P2_e,1.483
N2_P2_m,1.667
N2_P2_h,0.739
N3_P1_e,1.878
N3_P1_m,0.944
N3_P1_h,1.394
N3_P2_e,0.8
N3_P2_m,0.306
N3_P2_h,0.561
N4_P1_e,1.7
N4_P1_m,1.244
N4_P1_h,1.256
N4_P2_e,0.967
N4_P2_m,1.5
N4_P2_h,1.861
N5_P1_e,0.594
N5_P1_m,1.044
N5_P1_h,1.084
N5_P2_e,0.783
N5_P2_m,1.883
N5_P2_h,3.078
N6_P1_e,1.672
N6_P1_m,1.056
N6_P1_h,0.756
N6_P2_e,1.083
N6_P2_m,1.283
N6_P2_h,0.744
N7_P1_e,1.428
N7_P1_m,0.806
N7_P1_h,0.739
N7_P2_e,0.961
N7_P2_m,0.789
N7_P2_h,0.55
N8_P1_e,0.989
N8_P1_m,0.994
N8_P1_h,0.661
N8_P2_e,0.683
N8_P2_m,0.911
N8_P2_h,0.561
N9_P1_e,1.056
N9_P1_m,1.106
N9_P1_h,0.778
N9_P2_e,1.267
N9_P2_m,1.183
N9_P2_h,0.578
E1_P1_e,0.956
E1_P1_m,1.544
E1_P1_h,1.8
E1_P2_e,0.767
E1_P2_m,0.633
E1_P2_h,0.906
E2_P1_e,1.044
E2_P1_m,0.733
E2_P1_h,0.789
E2_P2_e,1.061
E2_P2_m,2.083
E2_P2_h,1.261
E3_P1_e,1.189
E3_P1_m,1.106
E3_P1_h,0.844
E3_P2_e,0.828
E3_P2_m,0.861
E3_P2_h,1.028
E4_P1_e,1.428
E4_P1_m,1.344
E4_P1_h,1.311
E4_P2_e,1.511
E4_P2_m,1.344
E4_P2_h,1.144
E5_P1_e,0.956
E5_P1_m,0.989
E5_P1_h,0.822
E5_P2_e,0.783
E5_P2_m,2.239
E5_P2_h,1.878
E6_P1_e,0.744
E6_P1_m,0.867
E6_P1_h,0.956
E6_P2_e,0.944
E6_P2_m,0.978
E6_P2_h,1.417
E7_P1_e,0.894
E7_P1_m,1.056
E7_P1_h,0.389
E7_P2_e,1.067
E7_P2_m,0.628
E7_P2_h,0.628
E8_P1_e,1.667
E8_P1_m,1.117
E8_P1_h,0.906
E8_P2_e,0.694
E8_P2_m,1.278
E8_P2_h,1.367
E9_P1_e,0.978
E9_P1_m,1.0
E9_P1_h,0.989
E9_P2_e,1.328
E9_P2_m,0.956
E9_P2_h,1.372
