variable,value
N1_P1_e,0.944
N1_P1_m,0.567
N1_P1_h,0.644
N1_P2_e,0.983
N1_P2_m,0.844
N1_P2_h,0.956
N2_P1_e,1.472
N2_P1_m,0.644
N2_P1_h,1.278
N2_P2_e,1.489
N2_P2_m,1.633
N2_P2_h,0.733
N3_P1_e,1.906
N3_P1_m,1.022
N3_P1_h,1.422
N3_P2_e,0.794
N3_P2_m,0.306
N3_P2_h,0.567
N4_P1_e,1.706
N4_P1_m,1.25
N4_P1_h,1.256
N4_P2_e,0.972
N4_P2_m,1.5
N4_P2_h,1.861
N5_P1_e,0.6
N5_P1_m,1.05
N5_P1_h,1.089
N5_P2_e,0.789
N5_P2_m,1.883
N5_P2_h,3.061
N6_P1_e,1.689
N6_P1_m,1.05
N6_P1_h,0.756
N6_P2_e,1.056
N6_P2_m,1.244
N6_P2_h,0.706
N7_P1_e,1.428
N7_P1_m,0.811
N7_P1_h,0.689
N7_P2_e,0.961
N7_P2_m,0.789
N7_P2_h,0.544
N8_P1_e,0.994
N8_P1_m,1.0
N8_P1_h,0.661
N8_P2_e,0.694
N8_P2_m,0.911
N8_P2_h,0.567
N9_P1_e,1.044
N9_P1_m,1.089
N9_P1_h,0.817
N9_P2_e,1.3
N9_P2_m,1.189
N9_P2_h,0.561
E1_P1_e,0.95
E1_P1_m,1.544
E1_P1_h,1.806
E1_P2_e,1.172
E1_P2_m,1.439
E1_P2_h,1.689
E2_P1_e,1.033
E2_P1_m,0.75
E2_P1_h,0.8
E2_P2_e,0.717
E2_P2_m,1.083
E2_P2_h,0.95
E3_P1_e,1.194
E3_P1_m,1.111
E3_P1_h,0.85
E3_P2_e,1.044
E3_P2_m,1.067
E3_P2_h,1.094
E4_P1_e,1.411
E4_P1_m,1.361
E4_P1_h,1.339
E4_P2_e,1.322
E4_P2_m,1.767
E4_P2_h,1.694
E5_P1_e,0.961
E5_P1_m,0.989
E5_P1_h,0.828
E5_P2_e,1.228
E5_P2_m,2.289
E5_P2_h,1.356
E6_P1_e,0.739
E6_P1_m,0.867
E6_P1_h,0.961
E6_P2_e,0.822
E6_P2_m,0.728
E6_P2_h,0.756
E7_P1_e,0.9
E7_P1_m,1.056
E7_P1_h,0.394
E7_P2_e,0.633
E7_P2_m,0.517
E7_P2_h,0.761
E8_P1_e,1.661
E8_P1_m,1.117
E8_P1_h,0.878
E8_P2_e,0.894
E8_P2_m,1.433
E8_P2_h,1.25
E9_P1_e,0.989
E9_P1_m,1.017
E9_P1_h,1.006
E9_P2_e,1.228
E9_P2_m,1.228
E9_P2_h,1.189
