variable,value
N1_P1_e,68.818
N1_P1_m,84.235
N1_P1_h,68.431
N1_P2_e,69.723
N1_P2_m,85.066
N1_P2_h,47.721
N2_P1_e,81.321
N2_P1_m,76.181
N2_P1_h,70.548
N2_P2_e,65.489
N2_P2_m,156.925
N2_P2_h,86.985
N3_P1_e,77.927
N3_P1_m,858.255
N3_P1_h,76.418
N3_P2_e,74.343
N3_P2_m,64.564
N3_P2_h,59.784
N4_P1_e,87.094
N4_P1_m,93.262
N4_P1_h,89.08
N4_P2_e,76.686
N4_P2_m,70.1
N4_P2_h,73.582
N5_P1_e,85.056
N5_P1_m,78.302
N5_P1_h,110.684
N5_P2_e,79.239
N5_P2_m,71.979
N5_P2_h,106.753
N6_P1_e,64.638
N6_P1_m,822.91
N6_P1_h,89.449
N6_P2_e,54.616
N6_P2_m,81.491
N6_P2_h,78.008
N7_P1_e,84.28
N7_P1_m,103.021
N7_P1_h,164.831
N7_P2_e,108.538
N7_P2_m,70.641
N7_P2_h,142.694
N8_P1_e,67.458
N8_P1_m,77.417
N8_P1_h,94.109
N8_P2_e,74.04
N8_P2_m,77.268
N8_P2_h,98.422
N9_P1_e,79.771
N9_P1_m,66.684
N9_P1_h,94.306
N9_P2_e,95.214
N9_P2_m,83.294
N9_P2_h,99.475
E1_P1_e,57.93
E1_P1_m,53.788
E1_P1_h,53.314
E1_P2_e,53.144
E1_P2_m,80.421
E1_P2_h,71.201
E2_P1_e,102.565
E2_P1_m,83.207
E2_P1_h,78.028
E2_P2_e,72.39
E2_P2_m,375.158
E2_P2_h,642.585
E3_P1_e,121.544
E3_P1_m,119.9
E3_P1_h,146.275
E3_P2_e,73.393
E3_P2_m,70.314
E3_P2_h,75.118
E4_P1_e,94.913
E4_P1_m,97.424
E4_P1_h,117.954
E4_P2_e,94.011
E4_P2_m,78.831
E4_P2_h,79.415
E5_P1_e,52.52
E5_P1_m,65.506
E5_P1_h,63.054
E5_P2_e,80.147
E5_P2_m,63.897
E5_P2_h,68.848
E6_P1_e,66.398
E6_P1_m,70.122
E6_P1_h,93.618
E6_P2_e,48.958
E6_P2_m,65.264
E6_P2_h,62.701
E7_P1_e,85.858
E7_P1_m,848.268
E7_P1_h,90.254
E7_P2_e,105.534
E7_P2_m,72.737
E7_P2_h,91.763
E8_P1_e,83.171
E8_P1_m,110.572
E8_P1_h,102.481
E8_P2_e,75.863
E8_P2_m,60.281
E8_P2_h,61.984
E9_P1_e,62.416
E9_P1_m,60.481
E9_P1_h,55.691
E9_P2_e,80.612
E9_P2_m,69.118
E9_P2_h,75.847
